epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,12798.4,0.86386,0.83604,1.34877,0.54215,0.40018,0.41827,0.24323,1.28124,1.98094,1.92256,0.000594321,0.000594321,0.000594321
61,13009.4,0.90458,0.86375,1.37927,0.40954,0.42249,0.34223,0.22446,1.19434,1.99301,1.81512,0.000580174,0.000580174,0.000580174
62,13220.5,0.88846,0.82653,1.35753,0.40118,0.4585,0.35055,0.23462,1.27464,2.17885,1.92189,0.000566027,0.000566027,0.000566027
63,13431.6,0.8871,0.85321,1.35991,0.45396,0.36484,0.37181,0.23282,1.29251,1.80788,1.90675,0.00055188,0.00055188,0.00055188
64,13643,0.88721,0.82995,1.37381,0.44839,0.44565,0.3683,0.24379,1.23017,1.87374,1.85116,0.000537733,0.000537733,0.000537733
65,13854.8,0.83652,0.8036,1.3227,0.51446,0.43906,0.40552,0.25429,1.2664,1.7274,1.91323,0.000523586,0.000523586,0.000523586
66,14066.2,0.86765,0.8156,1.34599,0.51011,0.52818,0.47963,0.30572,1.25423,1.68704,1.92924,0.000509438,0.000509438,0.000509438
67,14278.2,0.86993,0.82051,1.35073,0.42472,0.48631,0.36089,0.23844,1.1864,2.15282,1.81181,0.000495291,0.000495291,0.000495291
68,14489.9,0.84453,0.81085,1.33526,0.55329,0.40008,0.43184,0.27506,1.26116,1.74318,1.90187,0.000481144,0.000481144,0.000481144
69,14701.8,0.85545,0.78645,1.32818,0.51672,0.44673,0.45539,0.30613,1.27898,1.78504,1.90524,0.000466997,0.000466997,0.000466997
70,14913.9,0.84903,0.77966,1.32384,0.56528,0.50052,0.45975,0.2937,1.25175,1.78162,1.87434,0.00045285,0.00045285,0.00045285
71,15125.8,0.82476,0.7639,1.3213,0.47168,0.49274,0.41495,0.28015,1.22709,1.82602,1.88699,0.000438703,0.000438703,0.000438703
72,15337.6,0.81628,0.76452,1.30568,0.62333,0.465,0.49324,0.31329,1.26982,1.64584,1.88228,0.000424556,0.000424556,0.000424556
73,15548.9,0.84771,0.7831,1.33734,0.4976,0.43254,0.42168,0.27343,1.27728,1.77165,1.92417,0.000410409,0.000410409,0.000410409
74,15760.4,0.80236,0.71491,1.30271,0.55854,0.50745,0.42334,0.26926,1.26617,1.84919,1.92039,0.000396262,0.000396262,0.000396262
75,15972.1,0.81749,0.74892,1.31064,0.44054,0.43254,0.34983,0.23033,1.24333,2.05816,1.88373,0.000382115,0.000382115,0.000382115
76,16183.9,0.80741,0.73193,1.29154,0.5207,0.42778,0.43189,0.28247,1.22114,1.89686,1.88368,0.000367967,0.000367967,0.000367967
77,16396.2,0.77303,0.70583,1.27,0.52131,0.46272,0.44527,0.28819,1.24841,1.74138,1.90907,0.00035382,0.00035382,0.00035382
78,16609.5,0.81012,0.72465,1.30375,0.45102,0.48279,0.34909,0.22645,1.23783,1.99836,1.90985,0.000339673,0.000339673,0.000339673
79,16821.4,0.80395,0.72412,1.30225,0.53926,0.49948,0.46352,0.29842,1.23869,1.7734,1.8716,0.000325526,0.000325526,0.000325526
80,17033.1,0.78926,0.70508,1.27598,0.52722,0.44459,0.44697,0.28908,1.2329,1.74193,1.88456,0.000311379,0.000311379,0.000311379
81,17245.8,0.78172,0.68294,1.26848,0.51049,0.47825,0.43898,0.28056,1.21229,1.94122,1.87409,0.000297232,0.000297232,0.000297232
82,17458.3,0.76073,0.69368,1.27093,0.61978,0.47674,0.51297,0.32579,1.24465,1.67987,1.94872,0.000283085,0.000283085,0.000283085
83,17671.9,0.77452,0.69415,1.28697,0.47768,0.44077,0.44263,0.29148,1.22034,1.8639,1.86914,0.000268938,0.000268938,0.000268938
84,17883.8,0.76167,0.68608,1.27187,0.48254,0.47452,0.4332,0.27451,1.22345,2.0021,1.85779,0.000254791,0.000254791,0.000254791
85,18096.1,0.7582,0.68966,1.25752,0.51022,0.52916,0.44464,0.28125,1.22237,1.90207,1.86543,0.000240644,0.000240644,0.000240644
86,18307.7,0.74544,0.67522,1.25521,0.59668,0.44488,0.48761,0.32295,1.25008,1.73049,1.89402,0.000226497,0.000226497,0.000226497
87,18538.8,0.74427,0.66502,1.25301,0.42712,0.51474,0.41528,0.27179,1.1992,1.81994,1.85512,0.000212349,0.000212349,0.000212349
88,18777.1,0.76865,0.66229,1.26449,0.54712,0.48615,0.4811,0.31378,1.23344,1.766,1.91024,0.000198202,0.000198202,0.000198202
